Date,Protein(g),Fat(g),Carbs(g),Total Cals,Weight(lbs),%Cals Protein,P:NPE ratio (cals),P:NPE (g),Delta Weight
4/11/2018,176.86,136.81,34.14,2075.29,168.504,0.340887298,0.517191212,1.034571512,-0.185
4/12/2018,166,141.13,23.21,2027.01,168.319,0.327576085,0.487157101,1.01010101,1.296
4/13/2018,193.48,164.4,34.96,2393.36,169.615,0.3233613,0.477893593,0.970505618,-0.624
4/14/2018,164.64,171.66,50.16,2404.14,168.991,0.273927475,0.377272884,0.742223424,-0.205
4/15/2018,131.22,155.34,39.15,2079.54,168.786,0.252401974,0.337617228,0.674687645,0.335
4/16/2018,191.14,162.33,22.99,2317.49,169.121,0.329908651,0.492333846,1.031405137,-0.941
4/17/2018,155.38,164.25,22.21,2188.61,168.18,0.283979329,0.396607725,0.833315456,-1.184
4/18/2018,206.51,165.65,23.19,2409.65,166.996,0.342804972,0.521618328,1.093571277,-1.731
4/19/2018,195.42,210.26,23.06,2766.26,165.265,0.282576475,0.39387679,0.837562146,-0.564
4/20/2018,224.55,244.92,34.66,3241.12,164.701,0.277126425,0.383367763,0.803169039,3.886
4/21/2018,163.42,254.82,31.69,3073.82,168.587,0.212660468,0.270100077,0.570381488,0.702
4/22/2018,172.44,274.24,42.81,3329.16,169.289,0.207187399,0.261332121,0.543888977,2.537
4/23/2018,215.5,239.25,31.36,3140.69,171.826,0.274461981,0.378287525,0.796348989,0.56
4/24/2018,183.08,236.11,39.08,3013.63,172.386,0.243002625,0.321008543,0.665285803,-0.342
4/25/2018,104.94,172.07,34.15,2104.99,172.044,0.199411874,0.249081728,0.508874018,-2.658
4/26/2018,144.04,169.25,24.62,2197.89,169.386,0.262142327,0.355274922,0.742972095,0.767
4/27/2018,144.69,208.64,10.93,2500.24,170.153,0.231481778,0.301205321,0.658969805,-0.598
4/28/2018,162.07,214.25,21.29,2661.69,169.555,0.243559543,0.321981117,0.688078458,0.426
4/29/2018,224.83,197.17,29.84,2793.21,169.981,0.321966483,0.474853344,0.990396899,-0.58
4/30/2018,176.7,197.15,21.67,2567.83,169.401,0.275251866,0.379789686,0.807513024,0.39
5/1/2018,194.82,166.54,23.25,2371.14,169.791,0.328652041,0.489540537,1.026502977,-0.985
5/2/2018,207.62,185.12,27.72,2607.44,168.806,0.318503973,0.467359986,0.975474535,-1.839
5/3/2018,162.82,211.47,38.14,2707.07,166.967,0.240584839,0.316802786,0.652297584,1.109
