"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"269","950.6","2638.0","186.3","54","486","18","120"
"270","953.6","2646.0","179.0","61","510","21","120"
"271","956.8","2655.0","175.6","65","522","20","120"
"272","959.9","2664.0","176.0","64","521","19","120"
"273","962.9","2673.0","176.0","64","521","19","120"
"274","966.1","2682.0","180.2","60","506","20","120"
"275","969.3","2690.0","179.6","60","508","19","120"
"276","972.6","2700.0","179.6","60","508","19","121"
"277","975.9","2709.0","181.1","59","503","19","121"
"278","979.3","2718.0","177.6","62","515","17","121"
"279","982.7","2728.0","177.6","62","515","17","121"
"280","986.3","2738.0","176.9","63","517","18","121"
"281","989.7","2747.0","180.9","59","503","17","121"
"282","992.9","2756.0","190.0","51","475","18","122"
"283","996.6","2766.0","184.1","56","493","18","122"
"284","999.9","2775.0","184.9","55","490","18","123"
"285","1003.5","2785.0","184.9","55","490","18","123"
"286","1007.1","2794.0","183.7","56","494","17","123"
"287","1010.8","2803.0","194.9","47","462","16","123"
"288","1014.2","2812.0","194.9","47","462","16","123"
"289","1018.1","2823.0","190.2","51","475","17","122"
"290","1021.8","2832.0","190.1","51","475","16","121"
"291","1025.2","2841.0","190.1","51","475","16","120"
"292","1028.5","2850.0","191.0","50","473","18","120"
"293","1032.0","2860.0","184.8","55","491","18","120"
"294","1035.4","2869.0","187.9","53","481","18","120"
"295","1038.6","2877.0","187.9","53","481","18","120"
"296","1042.0","2886.0","187.6","53","482","19","120"
"297","1045.0","2895.0","189.5","51","477","18","121"
"298","1048.4","2904.0","186.1","54","487","17","121"
"299","1051.9","2913.0","190.7","50","473","17","121"
"300","1055.3","2922.0","191.9","50","470","18","120"
"301","1058.8","2931.0","189.2","52","478","17","120"
"302","1062.3","2940.0","188.9","52","478","17","120"
"303","1065.8","2950.0","191.4","50","472","17","120"
"304","1069.4","2959.0","197.7","45","456","17","120"
"305","1072.9","2968.0","197.7","45","456","17","120"
"306","1076.5","2977.0","191.5","50","471","17","120"
"307","1079.8","2986.0","194.5","48","463","18","120"
"308","1083.0","2994.0","194.5","48","463","18","120"
"309","1086.4","3003.0","185.8","55","488","18","120"
"310","1089.8","3012.0","187.5","53","482","17","120"
"311","1093.4","3022.0","190.5","51","474","17","120"
"312","1096.8","3031.0","190.5","51","474","17","120"
"313","1100.0","3040.0","184.2","56","492","18","120"
"314","1103.5","3050.0","179.7","60","507","19","120"
"315","1107.1","3059.0","183.3","57","495","17","120"
"316","1110.1","3067.0","187.2","53","483","17","119"
"317","1113.3","3076.0","179.0","61","510","19","119"
"318","1116.5","3085.0","179.0","61","510","19","119"
"319","1119.5","3094.0","178.1","62","513","19","118"
"320","1122.7","3103.0","172.3","68","535","20","119"
"321","1125.9","3113.0","171.5","69","538","19","119"
"322","1129.1","3122.0","172.1","69","536","19","120"
"323","1132.4","3131.0","175.4","65","523","18","121"
"324","1135.4","3140.0","177.9","62","514","20","122"
"325","1139.0","3149.0","177.9","62","514","20","122"
"326","1142.4","3158.0","190.1","51","475","18","122"
"327","1145.6","3167.0","190.1","51","475","18","122"
"328","1148.8","3175.0","186.4","54","486","19","121"
"329","1151.8","3184.0","188.1","53","481","20","120"
"330","1155.2","3193.0","188.1","53","481","20","120"
"331","1158.3","3201.0","179.9","60","507","20","120"
"332","1161.6","3210.0","179.9","60","507","20","120"
"333","1164.7","3219.0","183.3","57","495","18","120"
"334","1168.2","3228.0","188.4","52","480","19","121"
"335","1171.4","3237.0","179.0","61","510","19","121"
"336","1174.8","3247.0","179.8","60","507","18","122"
"337","1178.3","3256.0","179.8","60","507","18","122"
"338","1182.0","3266.0","183.7","56","494","17","122"
"339","1185.5","3276.0","181.1","59","503","16","121"
"340","1188.8","3284.0","188.2","53","480","18","121"
"341","1192.2","3294.0","188.2","53","480","18","120"
"342","1195.4","3302.0","182.3","58","499","18","120"
"343","1198.8","3312.0","180.5","60","505","17","120"
"344","1202.3","3321.0","185.0","55","490","17","120"
"345","1205.8","3331.0","190.8","50","473","17","120"
"346","1209.4","3340.0","190.3","51","475","17","120"
"347","1212.9","3349.0","186.8","54","485","17","120"
"348","1216.3","3359.0","188.9","52","478","17","120"
"349","1219.8","3368.0","187.3","53","483","17","120"
"350","1223.2","3377.0","187.3","53","483","17","120"
"351","1226.5","3386.0","187.1","53","484","18","120"
"352","1230.0","3395.0","183.0","57","496","18","121"
"353","1233.5","3405.0","182.8","57","497","17","122"
"354","1237.0","3414.0","187.1","53","484","17","122"
"355","1240.4","3423.0","190.6","51","474","18","122"
"356","1243.8","3432.0","190.7","50","473","18","122"
"357","1247.4","3442.0","188.2","53","480","17","121"
