Day,Metric,Unit,Amount
4/6/2018,Body Fat (Nokia),%,19.355
4/7/2018,Weight (Nokia),lbs,167.99
4/7/2018,Body Fat (Nokia),%,19.397
4/8/2018,Weight (Nokia),lbs,167.582
4/8/2018,Body Fat (Nokia),%,19.681
4/9/2018,Weight (Nokia),lbs,171.03
4/9/2018,Body Fat (Nokia),%,20.083
4/10/2018,Weight (Nokia),lbs,171.257
4/10/2018,Body Fat (Nokia),%,19.451
4/10/2018,Blood Glucose,mg/dL,113
4/10/2018,Blood Glucose,mg/dL,118
4/11/2018,Weight (Nokia),lbs,168.504
4/11/2018,Body Fat (Nokia),%,19.246
4/12/2018,Weight (Nokia),lbs,168.319
4/12/2018,Body Fat (Nokia),%,19.071
4/13/2018,Weight (Nokia),lbs,169.615
4/13/2018,Body Fat (Nokia),%,18.223
4/13/2018,Blood Glucose,mg/dL,91
4/14/2018,Weight (Nokia),lbs,168.991
4/14/2018,Body Fat (Nokia),%,15.785
4/15/2018,Weight (Nokia),lbs,168.786
4/15/2018,Body Fat (Nokia),%,19.083
4/16/2018,Weight (Nokia),lbs,169.121
4/16/2018,Body Fat (Nokia),%,19.137
4/16/2018,Blood Glucose,mg/dL,99
4/17/2018,Weight (Nokia),lbs,168.18
4/17/2018,Body Fat (Nokia),%,18.011
4/18/2018,Weight (Nokia),lbs,166.996
4/18/2018,Body Fat (Nokia),%,18.469
4/18/2018,Blood Glucose,mg/dL,121
4/19/2018,Weight (Nokia),lbs,165.265
4/19/2018,Body Fat (Nokia),%,19.049
4/20/2018,Weight (Nokia),lbs,164.701
4/20/2018,Body Fat (Nokia),%,17.535
4/20/2018,Body Fat,%,7.5
4/21/2018,Weight (Nokia),lbs,168.587
4/21/2018,Body Fat (Nokia),%,9.01
4/22/2018,Weight (Nokia),lbs,169.289
4/22/2018,Body Fat (Nokia),%,6.329
4/23/2018,Weight (Nokia),lbs,171.826
4/23/2018,Body Fat (Nokia),%,8.289
4/23/2018,Blood Glucose,mg/dL,119
4/24/2018,Weight (Nokia),lbs,172.386
4/24/2018,Body Fat (Nokia),%,8.159
4/25/2018,Weight (Nokia),lbs,172.044
4/25/2018,Body Fat (Nokia),%,7.24
4/26/2018,Weight (Nokia),lbs,169.386
4/26/2018,Body Fat (Nokia),%,8.486
4/27/2018,Weight (Nokia),lbs,170.153
4/27/2018,Body Fat (Nokia),%,6.725
4/28/2018,Weight (Nokia),lbs,169.555
4/28/2018,Body Fat (Nokia),%,6.696
4/29/2018,Weight (Nokia),lbs,169.981
4/29/2018,Body Fat (Nokia),%,9.247
4/30/2018,Weight (Nokia),lbs,169.401
4/30/2018,Body Fat (Nokia),%,9.409
5/1/2018,Weight (Nokia),lbs,169.791
5/1/2018,Body Fat (Nokia),%,8.336
5/2/2018,Weight (Nokia),lbs,168.806
5/2/2018,Body Fat (Nokia),%,9.573
5/3/2018,Weight (Nokia),lbs,166.967
5/3/2018,Body Fat (Nokia),%,9.507
5/4/2018,Weight (Nokia),lbs,168.076
5/4/2018,Body Fat (Nokia),%,9.588
5/5/2018,Weight (Nokia),lbs,170.135
5/5/2018,Body Fat (Nokia),%,8.151
5/6/2018,Weight (Nokia),lbs,169.361
5/6/2018,Body Fat (Nokia),%,7.823
5/7/2018,Ketones (Breath),ppm,10.6
5/7/2018,Weight (Nokia),lbs,166.674
5/7/2018,Body Fat (Nokia),%,8.188
5/8/2018,Weight (Nokia),lbs,166.389
5/8/2018,Body Fat (Nokia),%,8.069
5/9/2018,Blood Glucose,mg/dL,94
5/9/2018,Weight (Nokia),lbs,165.805
5/9/2018,Body Fat (Nokia),%,7.579
5/10/2018,Weight (Nokia),lbs,167.948
5/10/2018,Body Fat (Nokia),%,7.338
5/11/2018,Weight (Nokia),lbs,169.352
5/11/2018,Body Fat (Nokia),%,6.6
5/12/2018,Weight (Nokia),lbs,170.497
5/12/2018,Body Fat (Nokia),%,3.194
5/13/2018,Ketones (Breath),ppm,4.1
5/13/2018,Weight (Nokia),lbs,168.096
5/13/2018,Body Fat (Nokia),%,8.892
5/14/2018,Ketones (Breath),ppm,4.5
5/14/2018,Weight (Nokia),lbs,167.556
5/14/2018,Body Fat (Nokia),%,6.395
5/15/2018,Weight (Nokia),lbs,168.57
5/15/2018,Body Fat (Nokia),%,7.886
5/16/2018,Weight (Nokia),lbs,165.691
5/16/2018,Body Fat (Nokia),%,5.974
5/17/2018,Blood Glucose,mg/dL,101
5/17/2018,Weight (Nokia),lbs,166.103
5/17/2018,Body Fat (Nokia),%,7.804
5/17/2018,Weight (Nokia),lbs,170.245
5/17/2018,Body Fat (Nokia),%,4.636
5/18/2018,Weight (Nokia),lbs,167.053
5/18/2018,Body Fat (Nokia),%,8.525
5/19/2018,Weight (Nokia),lbs,164.055
5/19/2018,Body Fat (Nokia),%,10.28
5/20/2018,Body Fat (Nokia),%,9.531
5/20/2018,Weight (Nokia),lbs,164.93
5/21/2018,Weight (Nokia),lbs,162.589
5/21/2018,Body Fat (Nokia),%,6.916
5/22/2018,Weight (Nokia),lbs,164.707
5/22/2018,Body Fat (Nokia),%,8.593
5/23/2018,Weight (Nokia),lbs,166.506
5/23/2018,Body Fat (Nokia),%,6.912
5/24/2018,Body Fat (Nokia),%,8.649
5/24/2018,Weight (Nokia),lbs,168.989
5/25/2018,Weight (Nokia),lbs,167.304
5/25/2018,Body Fat (Nokia),%,4.783
5/26/2018,Weight (Nokia),lbs,167.492
5/26/2018,Body Fat (Nokia),%,7.332
5/27/2018,Weight (Nokia),lbs,168.599
5/27/2018,Body Fat (Nokia),%,9.219
5/28/2018,Weight (Nokia),lbs,166.575
5/28/2018,Body Fat (Nokia),%,5.426
5/29/2018,Weight (Nokia),lbs,167.549
5/29/2018,Body Fat (Nokia),%,8.145
5/30/2018,Weight (Nokia),lbs,168.411
5/30/2018,Body Fat (Nokia),%,4.516
5/31/2018,Weight (Nokia),lbs,169.39
5/31/2018,Body Fat (Nokia),%,5.583
6/1/2018,Weight (Nokia),lbs,169.419
6/1/2018,Body Fat (Nokia),%,6.558
6/2/2018,Weight (Nokia),lbs,166.019
6/2/2018,Body Fat (Nokia),%,7.144
6/3/2018,Weight (Nokia),lbs,166.685
6/3/2018,Body Fat (Nokia),%,8.69
6/4/2018,Weight (Nokia),lbs,166.202
6/4/2018,Body Fat (Nokia),%,8.768
6/5/2018,Weight (Nokia),lbs,166.189
6/5/2018,Body Fat (Nokia),%,8.066
6/6/2018,Body Fat (Nokia),%,8.139
6/6/2018,Weight (Nokia),lbs,165.225
6/7/2018,Weight (Nokia),lbs,165.225
6/7/2018,Body Fat (Nokia),%,7.352
6/8/2018,Weight (Nokia),lbs,164.403
6/8/2018,Body Fat (Nokia),%,3.889
6/9/2018,Weight (Nokia),lbs,164.663
6/9/2018,Body Fat (Nokia),%,9.707
6/9/2018,Weight (Nokia),lbs,165.254
6/9/2018,Body Fat (Nokia),%,5.63
6/10/2018,Weight (Nokia),lbs,166.121
6/10/2018,Body Fat (Nokia),%,8.6
6/11/2018,Weight (Nokia),lbs,164.476
6/11/2018,Body Fat (Nokia),%,8.632
