Day,Exercise,Minutes,Calories Burned
2018-2-21,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-137.27
2018-2-21,"bicycling, stationary, RPM/Spin bike class",5.0,-51.48
2018-2-23,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-137.51
2018-2-23,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",10.0,-38.50
2018-2-23,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-206.27
2018-2-25,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",20.0,-76.50
2018-2-26,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",20.0,-77.22
2018-2-26,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",12.0,-82.73
2018-2-27,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-102.45
2018-2-27,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",15.0,-57.37
2018-2-28,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-115.64
2018-3-1,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-205.56
2018-3-2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",16.0,-109.82
2018-3-2,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-115.32
2018-3-3,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-211.69
2018-3-5,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-104.24
2018-3-6,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-115.22
2018-3-7,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-136.54
2018-3-7,"resistance (weight) training, squats , slow or explosive effort",10.0,-54.61
2018-3-9,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",60.0,-234.10
2018-3-11,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-208.10
2018-3-12,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-211.76
2018-3-12,"yoga, Hatha",30.0,-63.53
2018-3-13,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",26.0,-179.67
2018-3-16,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",15.0,-57.02
2018-3-18,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",55.0,-373.31
2018-3-19,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-202.55
2018-3-19,"yoga, Surya Namaskar",23.0,-71.43
2018-3-20,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",22.0,-148.53
2018-3-20,"yoga, Hatha",30.0,-60.76
2018-3-21,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",40.0,-270.06
2018-3-22,"rowing, stationary ergometer, general, vigorous effort",9.0,-60.01
2018-3-23,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",33.0,-221.72
2018-3-23,"yoga, Hatha",30.0,-60.47
2018-3-24,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",30.0,-285.29
2018-3-25,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",38.0,-254.07
2018-3-26,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-202.00
2018-3-26,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-30.17
2018-3-27,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-202.00
2018-3-27,"rowing, stationary ergometer, general, vigorous effort",3.0,-20.20
2018-3-27,"yoga, Hatha",30.0,-60.60
2018-3-29,"rowing, stationary, 150 watts, vigorous effort",3.0,-29.67
2018-3-30,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-297.61
